NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,Poverty,Labor,Manufacturing,Children,Foreign-born,Housing,Vacancy,Owner,State,Place
"Nashwauk city, Minnesota",1151,40.1,56406,49.0,0.4194,1031.0,75.0,197.0,535.0,50625.0,63.0,193.0,642.0,101.0,353.0,27,44980
"Nimrod city, Minnesota",102,37.5,31250,1.0,0.3548,102.0,1.0,26.0,52.0,-666666666.0,0.0,19.0,66.0,24.0,41.0,27,46294
"Bloomington city, Minnesota",85332,41.6,75130,1649.0,0.4233,64283.0,17766.0,16253.0,48818.0,60110.0,12047.0,15086.0,36964.0,1470.0,23870.0,27,06616
"Vernon Center city, Minnesota",366,37.6,64375,4.0,0.3922,364.0,30.0,102.0,212.0,38000.0,5.0,99.0,165.0,13.0,112.0,27,66910
"Ghent city, Minnesota",407,36.4,60000,6.0,0.4617,342.0,36.0,107.0,212.0,35000.0,39.0,107.0,172.0,18.0,138.0,27,23660
"Taunton city, Minnesota",153,40.5,43750,0.0,0.356,153.0,11.0,36.0,98.0,55500.0,9.0,36.0,74.0,0.0,63.0,27,64264
"Chokio city, Minnesota",422,47.6,50313,4.0,0.4081,405.0,53.0,68.0,230.0,41000.0,17.0,68.0,224.0,37.0,142.0,27,11440
"Marshall city, Minnesota",13651,31.8,48958,272.0,0.4752,10890.0,1636.0,3443.0,7282.0,36892.0,1769.0,3344.0,5791.0,580.0,2822.0,27,40688
"Thief River Falls city, Minnesota",8790,39.1,49790,88.0,0.4094,8178.0,945.0,1818.0,4756.0,40200.0,191.0,1800.0,4336.0,286.0,2574.0,27,64570
"Cromwell city, Minnesota",272,53.5,28646,1.0,0.4806,271.0,12.0,53.0,91.0,43194.0,5.0,52.0,185.0,64.0,56.0,27,13780
"Kettle River city, Minnesota",182,40.0,44688,6.0,0.3523,159.0,17.0,42.0,95.0,-666666666.0,0.0,42.0,85.0,4.0,67.0,27,32966
"Chaska city, Minnesota",26371,36.2,85143,308.0,0.4369,23168.0,5343.0,7171.0,15284.0,66449.0,1956.0,7017.0,10131.0,274.0,7002.0,27,10972
"Brownsville city, Minnesota",568,45.6,63750,12.0,0.3478,559.0,59.0,111.0,336.0,49375.0,0.0,110.0,297.0,39.0,239.0,27,08218
"Wilder city, Minnesota",37,28.4,60781,0.0,0.1699,17.0,0.0,5.0,11.0,-666666666.0,9.0,5.0,14.0,1.0,13.0,27,70258
"Spicer city, Minnesota",1188,47.3,57143,6.0,0.4415,1162.0,190.0,224.0,700.0,31250.0,35.0,196.0,667.0,123.0,390.0,27,61690
"Waterville city, Minnesota",1872,45.6,51736,35.0,0.402,1823.0,172.0,360.0,984.0,35893.0,45.0,350.0,1032.0,206.0,544.0,27,68584
"Crosslake city, Minnesota",2204,61.6,64821,24.0,0.5132,2200.0,430.0,226.0,900.0,35500.0,6.0,226.0,2959.0,1903.0,924.0,27,13978
"Elkton city, Minnesota",134,37.3,60750,2.0,0.3149,134.0,11.0,34.0,83.0,-666666666.0,0.0,34.0,57.0,2.0,46.0,27,18728
"Gibbon city, Minnesota",749,39.4,47250,10.0,0.4131,705.0,42.0,183.0,416.0,43393.0,49.0,169.0,382.0,44.0,272.0,27,23678
"Green Isle city, Minnesota",617,33.9,65313,12.0,0.3087,585.0,50.0,176.0,311.0,42500.0,41.0,161.0,217.0,2.0,200.0,27,25658
"Winthrop city, Minnesota",1381,38.9,55450,31.0,0.3799,1267.0,127.0,307.0,747.0,40139.0,66.0,300.0,676.0,85.0,413.0,27,71122
"Brooks city, Minnesota",143,56.3,38750,6.0,0.4166,139.0,15.0,24.0,67.0,51250.0,0.0,24.0,76.0,9.0,58.0,27,08038
"Litchfield city, Minnesota",6631,42.9,56941,42.0,0.4773,6403.0,628.0,1297.0,3239.0,44263.0,219.0,1239.0,3014.0,211.0,1923.0,27,37448
"St. Michael city, Minnesota",17586,33.8,114015,162.0,0.3093,16033.0,3159.0,5796.0,10021.0,64681.0,672.0,5502.0,5550.0,103.0,4767.0,27,57346
"Borup city, Minnesota",102,40.2,53750,2.0,0.2752,95.0,7.0,22.0,52.0,-666666666.0,3.0,22.0,51.0,15.0,23.0,27,07030
"Rice Lake CDP, Minnesota",284,21.5,33250,30.0,0.4378,22.0,2.0,111.0,94.0,-666666666.0,0.0,79.0,79.0,12.0,36.0,27,54056
"Hill City city, Minnesota",654,34.0,37083,32.0,0.3653,568.0,15.0,175.0,280.0,23295.0,1.0,175.0,535.0,211.0,182.0,27,29096
"McGrath city, Minnesota",32,56.3,-666666666,0.0,0.4783,32.0,0.0,0.0,13.0,-666666666.0,0.0,0.0,51.0,34.0,12.0,27,38996
"Tamarack city, Minnesota",115,39.2,39375,2.0,0.3302,108.0,0.0,17.0,56.0,28977.0,2.0,17.0,60.0,9.0,38.0,27,64156
"Amboy city, Minnesota",651,38.0,50625,9.0,0.4522,636.0,65.0,171.0,311.0,32000.0,51.0,169.0,292.0,27.0,188.0,27,01324
"Eagle Lake city, Minnesota",3007,31.4,74219,124.0,0.3553,2669.0,466.0,855.0,1800.0,41818.0,31.0,855.0,1110.0,36.0,703.0,27,17378
"Kerkhoven city, Minnesota",691,33.3,45385,11.0,0.3447,655.0,72.0,221.0,327.0,40781.0,40.0,220.0,347.0,51.0,187.0,27,32876
"Comstock city, Minnesota",78,49.5,90417,1.0,0.3226,74.0,11.0,13.0,49.0,-666666666.0,4.0,13.0,45.0,10.0,35.0,27,12862
